"ServiceName","ResourceName","ResourceGroup","TlsVersion","Location","AdditionalInfo"
"Azure App Service","vcard-eus2-fn-prd-01","vcard-eus2-rg-prd","1.3","East US 2","DefaultHostName: vcard-eus2-fn-prd-01.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","opwhisper-eus2-fn-prd-01","opwhisper-eus2-rg-prd","1.3","East US 2","DefaultHostName: opwhisper-eus2-fn-prd-01.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","opwhisper-speaker-recognition-eus2-fn-prd-01","opwhisper-eus2-rg-prd","1.2","East US 2","DefaultHostName: opwhisper-speaker-recognition-eus2-fn-prd-01.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","ado-eus2-fn-prd-01","ado-eus2-rg-prd","1.3","East US 2","DefaultHostName: ado-eus2-fn-prd-01.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","ctanwebpoc","BLACKBOXDT","1.2","East US 2","DefaultHostName: ctanwebpoc.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","apiblackboxd","BLACKBOXDT","1.2","East US 2","DefaultHostName: apiblackboxd.azurewebsites.net; Sku: ; State: Stopped"
"Azure App Service","blackboxappd","BLACKBOXDT","1.2","East US 2","DefaultHostName: blackboxappd.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","apiblackboxt","BLACKBOXDT","1.2","East US 2","DefaultHostName: apiblackboxt.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","blackboxappt","BLACKBOXDT","1.2","East US 2","DefaultHostName: blackboxappt.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","apiblackbox","BLACKBOXPP","1.2","East US 2","DefaultHostName: apiblackbox.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","blackboxapp","BLACKBOXPP","1.2","East US 2","DefaultHostName: blackboxapp.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","aisenrichment","ais","1.2","East US 2","DefaultHostName: aisenrichment.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","eformapprove-eus2-app-prd","eform-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: eformapprove-eus2-app-prd.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","f1199-eus2-app-prd-01","eformappsmigrated-eus2-prd","1.2","East US 2","DefaultHostName: f1199-eus2-app-prd-01.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","f5570","eformappsmigrated-eus2-prd","1.2","East US 2","DefaultHostName: f5570.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","MIRA-EUS2-IOT-APP-01","IOT-EUS2-RG-01","1.2","East US 2","DefaultHostName: mira-eus2-iot-app-01.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","tddai","SpeechToText","1.2","East US 2","DefaultHostName: tddai.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","tactet-pilot","dash_pilot","1.2","East US 2","DefaultHostName: tactet-pilot.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","logicappmedusa","rg-medusa","1.2","East US 2","DefaultHostName: logicappmedusa.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","mira-genetec-apia-sandbox","mira-genetec-eus2-sandbox-01","1.2","East US 2","DefaultHostName: mira-genetec-apia-sandbox.azurewebsites.net; Sku: ; State: Stopped"
"Azure App Service","cichdev","rg-sharepoint-online","1.2","East US 2","DefaultHostName: cichdev.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","devwebapp-can","openai-eastus2-rg-dev-01","1.2","East US 2","DefaultHostName: devwebapp-can.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","sleekflowapp","SleekFlow","1.2","East US 2","DefaultHostName: sleekflowapp.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","sleekFlowLogicAppWorkFlows","SleekFlow","1.2","East US 2","DefaultHostName: sleekflowlogicappworkflows.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","sleekflowfunction","SleekFlow","1.2","East US 2","DefaultHostName: sleekflowfunction.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","galaxypre","SREMonitoreo","1.2","East US","DefaultHostName: galaxypre.azurewebsites.net; Sku: ; State: Running"
